year,state,Auto,Bus,Truck,Motorcycle
1928,Maryland,248729.0,621.0,38678.0,2232.0
1928,Massachusetts,640149.0,1711.0,92096.0,6856.0
1928,Michigan,1086727.0,0.0,169839.0,3686.0
1928,Minnesota,584829.0,359.0,91512.0,2083.0
1928,Mississippi,215165.0,0.0,32506.0,69.0
1928,Missouri,637307.0,0.0,77782.0,1824.0
1928,Montana,104747.0,0.0,23017.0,185.0
1928,Nebraska,358471.0,167.0,34290.0,1026.0
1928,Nevada,21924.0,0.0,5982.0,94.0
1928,New Hampshire,87447.0,0.0,16164.0,1330.0
1928,New Jersey,628072.0,4916.0,132699.0,7479.0
1928,New Mexico,56887.0,95.0,9820.0,250.0
1928,New York,1761266.0,4497.0,335005.0,15802.0
1928,North Carolina,420642.0,180.0,50315.0,1244.0
1928,North Dakota,151881.0,0.0,22005.0,236.0
1928,Ohio,1454591.0,0.0,207490.0,9472.0
1928,Oklahoma,466528.0,0.0,66605.0,1124.0
1928,Oregon,217657.0,969.0,31170.0,2046.0
1928,Pennsylvania,1424128.0,2009.0,227791.0,13807.0
1928,Rhode Island,106118.0,376.0,20027.0,1166.0
1928,South Carolina,193829.0,1062.0,24151.0,432.0
1928,South Dakota,171334.0,0.0,21226.0,230.0
1928,Tennessee,294376.0,1164.0,30195.0,1059.0
1928,Texas,1061420.0,1176.0,161290.0,3481.0
1928,Utah,84426.0,0.0,15009.0,520.0
1928,Vermont,78668.0,111.0,7792.0,521.0
1928,Virginia,307908.0,629.0,56489.0,2271.0
1928,Washington,345935.0,556.0,61417.0,2737.0
1928,West Virginia,216043.0,674.0,37042.0,1479.0
1928,Wisconsin,647306.0,547.0,98400.0,2866.0
1928,Wyoming,48960.0,0.0,7977.0,128.0
1929,Alabama,247814.0,1315.0,38689.0,704.0
1929,Alaska,0.0,0.0,0.0,0.0
1929,Arizona,98661.0,175.0,11901.0,439.0
1929,Arkansas,193349.0,300.0,40627.0,431.0
1929,California,1764218.0,0.0,227384.0,10180.0
1929,Colorado,260054.0,0.0,45592.0,1142.0
1929,Connecticut,278702.0,343.0,51642.0,2584.0
1929,Delaware,44909.0,0.0,10731.0,308.0
1929,District of Columbia,135845.0,500.0,17733.0,1192.0
